state,0,1,2,3,4,5,6
ooox  xx xxo  o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox o x x x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo  x x x   ,-1.5,-0.8999999999999999,0.0,0.0,0.0,-0.8999999999999999,-2.4
oo o x x x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox  x x x o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o o x x    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox o xx xx    ,-5.1,0.0,0.0,0.0,0.0,0.0,0.0
oooxo o xx xx    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o  x x o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oooxo  xx xx ox   ,-8.1,-7.5,0.0,0.0,0.0,0.0,0.0
oooxo o xx xx ox   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oooxo o xx xx oxx   ,0.0,-6.3,0.0,0.0,0.0,0.0,0.0
oooxo oo xx xx oxx   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o x xx   o  ,0.0,0.0,0.0,0.0,-0.6,0.0,-1.2
o x xx  o o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox xxx xx  o o  ,0.0,0.0,0.0,-4.5,0.0,0.0,0.0
ooox xxx xx o o o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  x o    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  xx o    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  xx o  o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox  xo x x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oooxoo  xx xx ox   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oooxoo  xx xxx ox   ,0.0,-9.6,0.0,0.0,0.0,0.0,0.0
oooxoo o xx xxx ox   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o  xx x o   ,-1.02,0.0,0.0,0.0,0.0,-1.2,0.0
o  xx x o o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oooxo x xxo xx ox   ,0.0,0.0,-5.1,0.0,0.0,0.0,0.0
oooxo x xxoo xx ox   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  x  o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo  xx xx o   ,0.0,0.0,0.0,0.0,-1.2,0.0,-3.0
oo  xx xx oo   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o x xx   o o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo  xx x o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo  xx xx o  o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo  x x x  o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooox  x xo x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ooo  x x x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o  xxo x o   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo  xxo xx ox   ,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
oo  xxo xx oxo   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo  xxo xxx oxo   ,0.0,0.0,0.0,0.0,0.0,-6.9,0.0
oo  xxo xxx oxo o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo  x x x o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o  x x x  o ,-2.4,0.0,0.0,0.0,0.0,0.0,0.0
oooxo  xx xx x o  ,0.0,0.0,0.0,-5.4,0.0,0.0,0.0
oooxo  xx xxo x o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox  o oo    ,0.0,0.0,-2.4,0.0,-1.7999999999999998,0.0,0.0
xxxox  ox oo    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox  ox oo o   ,0.0,0.0,0.0,0.0,0.0,-2.7,0.0
xxxox  ox oo o x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   oxo    ,0.0,0.0,0.0,0.6,0.0,0.0,0.0
x   oxox    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x  o o   x ,0.0,0.0,-2.04,0.0,0.0,0.0,0.0
x  ox o   x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo   oo    ,-1.2,0.0,-1.02,0.0,0.0,0.0,0.0
xxxox   oo    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox  o oo x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   o  x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
